@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data
0,0,1,0,0,0,0.405753,0.210076,0.055926,0.460735,0.553954,0.103828,0.650743,0.193448,0.433543,0.737779,0,0.504458,0.719364,0.472333,0.463012,0.461528,0.093937,0.086242,0.029254,0.137561,0.064415,0.159988,0.142661,0.236209,0.16277,0.300265,0.395102,0.170706,0.246216,0.227521,0.241935,0.22123,0.074151,0.120826,0.048726,0.361774,0.241914,0.225961,0.378148,0.63212,0.288774,0.555423,0.404361,0.217934,0.366308,0.328853,0.195231,0.142203,0.262059,0.174057,0.938496,0.658827,0.255655,0.335431,0.273271,0.330845,0.218835,0.338976,0.46956,0.100194,0.223882,0.244834,0.086182,0.110719,0.011273,0.507937,0,0.481203,0.096179,0.082279,0.085109
0,0,1,1,1,0,0.092468,0.020593,0.14409,0.523414,0.732877,0.427167,0.524562,0.661858,0.624883,0.350604,0.428895,0.529549,0.873161,0.550911,0.339827,0.578907,0.042271,0.051395,0.147085,0.218109,0.296935,0.2533,0.230257,0.394229,0.138799,0.233982,0.21443,0.169232,0.358186,0.294244,0.286576,0.187732,0.048062,0.214622,0.211636,0.350248,0.454667,0.21284,0.201601,0.514725,0.253874,0.150442,0.13441,0.146424,0.240265,0.164628,0.192321,0.093197,0.35956,0.331587,0.869588,0.450159,0.351892,0.236856,0.410567,0.461636,0.483455,0.356525,0.188329,0.11271,0.300775,0.216983,0.145982,0.116794,0.06165,0.730159,0,0.691729,0.059922,0.167836,0.218578
0,0,1,1,1,0,0.109421,0.00917,0.126389,0.544659,0.55658,0.649295,0.505859,0.63709,0.319702,0.685271,0.876265,0.320135,0.938331,0.75222,0.224493,0.397749,0.05122,0.048587,0.095167,0.144614,0.251143,0.169841,0.155595,0.180451,0.158418,0.462889,0.322631,0.157781,0.311984,0.254028,0.265772,0.21253,0.039724,0.077445,0.113068,0.192919,0.28369,0.116422,0.30265,0.423248,0.175549,0.45419,0.128146,0.122872,0.290679,0.185257,0.14581,0.082702,0.382678,0.311494,0.904565,0.526194,0.373797,0.264751,0.273798,0.257134,0.289504,0.488146,0.333146,0.112745,0.209042,0.167287,0.142365,0.10672,0.044138,0.079365,0.042809,0.075188,0.151317,0.102147,0.159241
0,0,0,0,0,1,0.206208,0.142908,0.273947,0.670927,0.387806,0.54667,0.441161,0.720557,0.384043,0.465161,0.613113,0.405488,0.374985,0.286676,0.365159,0.40314,0.216087,0.326531,0.265928,0.287304,0.292196,0.26686,0.310687,0.324018,0.22112,0.323864,0.340149,0.17959,0.278167,0.290274,0.31931,0.187385,0.154319,0.337704,0.171128,0.120523,0.24703,0.111062,0.301744,0.431665,0.224101,0.144904,0.104852,0.121378,0.194281,0.107463,0.088692,0.069641,0.387452,0.42753,0.835874,0.379098,0.276303,0.159899,0.152573,0.252514,0.145824,0.228531,0.127908,0.098546,0.121333,0.061082,0.093018,0.10434,0.109959,0.492063,0.037601,0.466165,0.172294,0.049735,0.125653
1,0,0,0,0,1,0.261113,0.176974,0.32418,0.709467,0.356549,0.571736,0.260361,0.436509,0.325629,0.398747,0.596906,0.428843,0.451637,0.311017,0.326228,0.326258,0.22786,0.353474,0.194492,0.222079,0.244189,0.350513,0.317457,0.27359,0.283567,0.413414,0.351584,0.230555,0.458424,0.443727,0.544064,0.266414,0.1307,0.220177,0.040566,0.106392,0.174056,0.263328,0.253316,0.236224,0.254636,0.201169,0.241609,0.224959,0.335263,0.185016,0.106439,0.083267,0.214686,0.173699,0.851468,0.387673,0.129618,0.377151,0.158057,0.129409,0.22519,0.145202,0.194223,0.114733,0.22389,0.125453,0.122123,0.093363,0.093411,0.206349,0.176416,0.195489,0.147564,0.231301,0.245566
0,0,1,0,0,0,0.563422,0.329891,0.291411,0.551339,0.210407,0.401898,0.489522,0.46944,0.206084,0.327656,0.974602,0.534646,0.444324,0.293733,0.335887,0.536464,0.531344,0.380915,0.244595,0.277795,0.355819,0.609155,0.602659,0.497698,0.687224,0.698461,0.710884,0.477403,0.536283,0.496975,0.558931,0.336593,0.116289,0.120572,0.167606,0.221219,0.206055,0.314065,0.569485,0.467406,0.503392,0.275196,0.242223,0.198391,0.172494,0.196805,0.269264,0.138515,0.363471,0.177313,0.822546,0.469831,0.222142,0.450884,0.411756,0.401754,0.760969,0.470348,0.507168,0.334048,0.338061,0.214685,0.140053,0.188492,0.25002,0.253968,0.347182,0.240602,0.280406,0.398666,0.35504
0,1,0,1,0,0,0.249046,0.136535,0.143152,0.468931,0.308187,0.55998,0.491262,0.449032,0.457242,0.389079,0.643533,0.354843,0.764941,0.456349,0.406469,0.362942,0.185972,0.236462,0.107786,0.249812,0.236953,0.262342,0.186343,0.207937,0.203661,0.333265,0.26257,0.257918,0.320943,0.31685,0.35414,0.240364,0.18374,0.235973,0.150875,0.537592,0.565876,0.339614,0.40322,0.465127,0.444477,0.332234,0.242447,0.231086,0.296539,0.155854,0.319991,0.27107,0.336534,0.322007,0.884877,0.46978,0.381303,0.38027,0.262735,0.282053,0.361238,0.483786,0.347434,0.393367,0.293119,0.352946,0.190224,0.276457,0.141617,0.650794,0.213491,0.616541,0.241703,0.357145,0.570108
0,0,1,1,1,0,0.156621,0.033199,0.11611,0.401838,1,0.602263,0.188781,0.668436,0.309866,0.534015,0.405857,0.236937,0.280116,0.458852,0.308435,0.376188,0.021402,0.009356,0.109073,0.16488,0.225783,0.195162,0.28861,0.215808,0.218572,0.31735,0.246613,0.163028,0.305358,0.288815,0.211502,0.182559,0.044,0.080209,0.164318,0.343655,0.3926,0.516085,0.433448,0.270214,0.449151,0.366098,0.23687,0.122483,0.23087,0.223802,0.230514,0.155215,0.33558,0.229297,0.893414,0.590815,0.604355,0.426731,0.434409,0.230857,0.390386,0.548586,0.250041,0.178375,0.491,0.280871,0.150066,0.207654,0.049586,0.079365,0.005281,0.075188,0.268335,0.020171,0.141406
0,0,1,1,0,0,0.23585,0.157011,0.231961,0.48222,0.413316,0.590572,0.594021,0.347809,0.418501,0.648248,0.463754,0.445974,0.785666,0.533932,0.203889,0.566683,0.253807,0.370908,0.207244,0.339888,0.306124,0.522998,0.63168,0.569782,0.360042,0.558974,0.46,0.280296,0.349975,0.222965,0.410603,0.23556,0.09966,0.14293,0.109076,0.23081,0.165081,0.349171,0.629218,0.3615,0.319121,0.26567,0.188772,0.219451,0.145195,0.101009,0.222128,0.085895,0.352931,0.308508,0.846894,0.444652,0.273847,0.466313,0.459009,0.491296,0.355919,0.54343,0.227776,0.258709,0.219559,0.106457,0.132851,0.103985,0.228845,0.349206,0.028019,0.330827,0.25485,0.059724,0.208108
1,0,0,0,0,1,0.164094,0.084962,0.208714,0.85308,0.394965,0.416048,0.621498,0.38587,0.413587,0.40921,0.562402,0.319538,0.572214,0.464703,0.407245,0.20888,0.090017,0.137008,0.095123,0.091236,0.080994,0.038797,0.127785,0.071667,0.071821,0.118718,0.181702,0.108899,0.207555,0.128133,0.241817,0.129124,0.050438,0.071835,0.011389,0.047087,0.028327,0,0.047638,0.002405,0.093938,0.003673,0.011523,0,0.001479,0.001045,0.019496,0,0.291309,0.198908,0.891933,0.33724,0.074552,0.008597,0.057388,0,0.039463,0,0,0.026854,0,0.026914,0.006888,0,0.3777,0.190476,0.094115,0.180451,1,0.172032,0.610063
0,0,0,0,1,1,0.285912,0.145666,0.245391,0.801454,0.370871,0.589518,0.494517,0.566453,0.404233,0.332309,0.608351,0.369151,0.671802,0.357194,0.300719,0.644634,0.260315,0.275576,0.134763,0.288962,0.345673,0.39195,0.565606,0.496846,0.650371,0.581854,0.595445,0.445037,0.48117,0.388861,0.419424,0.306281,0.089236,0.156984,0.190795,0.091251,0.232838,0.139571,0.50201,0.325077,0.514468,0.170497,0.129882,0.134644,0.193978,0.138119,0.174025,0.143835,0.442372,0.233585,0.875381,0.377185,0.318177,0.375988,0.280265,0.350857,0.53228,0.419939,0.343456,0.351955,0.224596,0.175165,0.153166,0.099925,0.075693,0.412698,0.002603,0.390977,0.208602,0.195962,0.215573
0,1,1,0,0,0,0.132498,0.077848,0.229227,0.602629,0.512861,0.467404,0.529733,0.573498,0.592831,0.520031,0.598853,0.537699,0.780658,0.462982,0.407108,0.684364,0.135824,0.245631,0.157515,0.301285,0.350107,0.459476,0.583274,0.430053,0.416198,0.581916,0.342758,0.309345,0.388929,0.323521,0.455207,0.26139,0.027559,0.149077,0.195433,0.571354,0.326404,0.246745,0.524645,0.354798,0.240244,0.239788,0.128689,0.173252,0.204863,0.131632,0.245653,0.144607,0.258203,0.470051,0.259909,0.61364,0.458314,0.434716,0.448941,0.370609,0.285647,0.663082,0.29708,0.273671,0.286411,0.197026,0.196244,0.164323,0.030017,0.253968,0.008473,0.240602,0.136735,0.058442,0.107594
0,0,0,1,1,0,0.132363,0.011468,0.062014,0.261546,0.61247,1,0.816649,0.609951,0.327747,0.602389,0.526334,0.293369,0.861764,0.087629,0.279378,0.230112,0.054465,0.043204,0.057694,0.246989,0.289051,0.155407,0.325796,0.222201,0.260598,0.387435,0.217644,0.151564,0.335883,0.258741,0.369631,0.244304,0.074946,0.110558,0.163262,0.463511,0.536064,0.271656,0.532766,0.410875,0.515451,0.420249,0.188831,0.143956,0.358177,0.193142,0.236664,0.204594,0.411359,0.308291,0.922772,0.698171,0.646022,0.397848,0.706679,0.498429,0.814773,0.710794,0.403666,0.29398,0.438655,0.253084,0.326922,0.391915,0.015065,0.555556,0.008687,0.526316,0.047562,0.015665,0.040531
0,0,1,0,1,0,0.388843,0.191942,0.04585,0.639894,0.445185,0.296336,0.609102,0.181539,0.434909,0.107908,0.48696,0.333843,0.459381,0.142606,0.426253,0.226568,0.130796,0.105363,0.04908,0.174334,0.233537,0.120669,0.185291,0.236737,0.271206,0.301436,0.329461,0.228748,0.379256,0.492922,0.465071,0.406523,0.158137,0.217376,0.24909,0.241959,0.39985,0.189993,0.34605,0.532207,0.645886,0.37656,0.296369,0.275266,0.457879,0.51769,0.344438,0.274334,0.306403,0.253391,0.913886,0.507939,0.407197,0.270113,0.388428,0.340682,0.470658,0.59046,0.526906,0.233772,0.404498,0.526661,0.432805,0.416261,0.017211,0.31746,0.015031,0.300752,0.123743,0.127063,0.153055
1,0,0,0,0,1,0.032444,0.71992,0.268085,0.707863,0.3803,0.590334,0.389951,0.618743,0.427468,0.53378,0.486529,0.360093,0.418698,0.38169,0.360662,0.589627,0.039187,1,0.22851,0.176713,0.28226,0.243619,0.155427,0.130467,0.096174,0.174723,0.148221,0.067919,0.099122,0.101265,0.074502,0.083442,0.106454,0.428047,0.064048,0.151317,0.127889,0.081635,0.055366,0.072831,0.071953,0.039289,0.044533,0.018422,0.056885,0.08972,0.073694,0.033486,0.343824,0.233163,0.828339,0.334594,0.319878,0.152289,0.10567,0.126039,0.119645,0.179462,0.09579,0.043314,0.041291,0.061382,0.063066,0.041661,0.135355,0.285714,0.205249,0.270677,0.150561,0.24391,0.264358
